원본,요약,카테고리,요약 재분류
"취지는 좋으나, 조금 더 발전이 필요해보임.",- 투자 규모에 비해 콘텐츠가 부족하고 특히 어린이용 프로그램이 적어 행사 컨셉이 애매하게 느껴짐,축제 운영 개선,145
커피 한 잔이 6000원 물가비교 테이크아웃금액이 비싸고 부스참여는 할 수 있는게 없이 예약이 끝났는데 고지도 안 되어있어 사람들이 서서 20명정도 계속 하는건가 물어보고 있어요,- 푸드 코너를 더 늘리고 음식 종류를 다양하게 확대할 필요가 있음,가족친화행사,146
편안한 실내커피숍 필요,- 편안하게 쉴 수 있는 실내 커피숍 등 휴식 공간을 행사장에 마련할 필요가 있음,행사장 편의시설,147
푸드 코너가 더 많았으면 좋겠음. 아주 다양하게,- 프로그램의 다양성이 부족하므로 새로운 콘텐츠를 개발해 프로그램을 확대할 필요가 있음,축제 운영 개선,148
"푸드코트의 다양성 및 질 개선, 참여 부스 확대",- 부스 참여 예약이 마감되었음에도 안내가 없어 약 20명가량이 대기하며 진행 여부를 문의하는 등 운영 안내와 대기 관리가 필요함,행사장 편의시설,149
"푸드트럭, 음료 등 다양했으면 더 좋을 것 같고
간이화장실이 물부족이라서 아쉬웠지만 이정도면 전반적으로 훌륭한 행사여서 잘 즐기다 갑니다 ♥ 감사합니다!",- 푸드코트의 메뉴 다양성과 음식 품질을 개선해 방문객들의 만족도를 높여야 함,가족친화행사,150
"프로그램 다양성 추진! -> 사전예약 마감으로 인한 참여 불가…
주차 힘듬!",- 프로그램 이용 시 '1~2시간 뒤 오라'는 대기 안내로 참여 기회를 놓쳤으므로 대기·예약 안내와 운영 관리를 개선할 필요가 있음,축제 운영 개선,151
"프로그램 다양화 및 활성화, 시간대별 프로그램 진행, 사전예약홍보",- 프로그램을 다양화하고 활성화해 참가자들의 선택 폭과 참여도를 높여야 함,가족친화행사,152
프로그램 이용시 1~2시간 뒤 오라고 해서 이용 잘못했어요.,- 푸드트럭과 음료 등 먹거리 선택지가 부족해 다양한 음식·음료 제공을 확대할 필요가 있음,가족친화행사,153
프로그램 자체는 많지만 많은 인원을 수용하지 못해서 이미 예약 마감 등 마감된 것들이 많아서 아쉬웠다.,- 프로그램은 다양했지만 수용 인원이 적어 예약이 빠르게 마감되어 참여 기회가 부족했다,축제 운영 개선,154
프로그램의 다양성. 개발???,- 행사 프로그램이 다양하지 않아 참가자 흥미를 높일 수 있도록 보다 다양한 프로그램 구성이 필요하다,가족친화행사,155
프로그램이 더 다양했으면 좋겠다.,- 행사 홍보와 사전 안내가 부족하니 홍보를 강화하고 참가자에게 자세한 사전 안내를 제공해 주세요.,행사 평가,156
"플리마켓인데 너무 적고 품목이 제한적…
미디어아트 실망…ㅠ 시민참여 작품이라도 더 다양하면 좋았을듯…",- 사전예약이 조기 마감되어 원하는 프로그램에 참여하지 못했으므로 예약 인원 확대나 현장 참여 기회 마련 등 예약 시스템 개선이 필요함,축제 운영 개선,157
홍보,- 행사 인지도와 참여율을 높이기 위해 홍보를 대폭 강화할 필요가 있음,행사 평가,109
홍보 필요함,- 행사 홍보가 부족해 존재를 미리 알기 어려웠으므로 더 적극적인 사전 홍보가 필요함,행사 평가,158
"홍보가 더 필요.
사전 안내가 더 자세히 안내 되었으면 합니다.",- 행사 홍보가 부족해 참여자 모집과 인지도 향상을 위해 홍보 전략을 강화할 필요가 있음,행사 평가,159
"홍보가 많이 되지 않았던것 같아요.
어제 저녁 홈플 근처 인원이 많은 것을 보고
찾아온 뒤 행사가 있었다는 것을 알게 되어 오늘 찾아 왔어요!
의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요!",- 화장실 청결 관리가 미흡해 방문객 편의를 위해 위생 상태 개선이 필요함,행사장 편의시설,160
홍보를 더 많이 했으면 좋겠다.,- 행사 홍보를 더 적극적으로 해서 더 많은 사람들이 알게 되고 참여할 수 있도록 해야 함,행사 평가,161
"홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다.
행사 시간을 오전에도 진행하였으면 좋겠다.",- 휴게공간과 좌석을 더 늘려 관람과 체험 중 쉴 수 있는 공간을 확충해야 함,행사장 편의시설,162
"화장실 더 필요합니다.
우천에 대비해 이동구간 도로 포장이 필요합니다.",- 행사 홍보가 부족해 더 적극적이고 다양한 채널을 통한 홍보가 필요함,행사 평가,163
화장실 청결도,"개조식 요약:
- 화장실이 부족해 관람객 편의를 위해 화장실을 추가 설치해야 함",행사장 편의시설,164
휴게공간 (좌석)이 좀 더 생기면 좋겠습니다.,- 흡연 구역(부스) 마련이 부족해 행사장에 담배 냄새가 나 아이들과 함께 관람하기에 불편했다.,행사장 편의시설,165
"흙바닥이여서 비가 와서 신발이 더러워짐.
행사 부스 규모가 작아서 줄을 많이 기다려야했음.",- 부스 규모가 작아 대기 시간이 길어 참여에 불편이 있었다,행사장 편의시설,166
"흡연부스가 따로 없는건진 모르지만 아이들과 행사장 참여했는데
 냄새 등 때문에 좋지 않았어요.",- 플리마켓과 미디어아트 모두 품목·작품의 다양성이 부족해 볼거리와 시민참여 기회가 제한되어 아쉬웠음,축제 운영 개선,167
