원본,요약,카테고리
커피 한 잔이 6000원 물가비교 테이크아웃금액이 비싸고 부스참여는 할 수 있는게 없이 예약이 끝났는데 고지도 안 되어있어 사람들이 서서 20명정도 계속 하는건가 물어보고 있어요,- 부스 참여 가능 여부와 예약 완료 안내가 제대로 이뤄지지 않아 약 20명가량이 서서 대기하며 혼란을 겪었음,행사운영관리
편안한 실내커피숍 필요,- 편안하게 쉴 수 있는 실내 카페(커피숍) 등 휴식 공간을 마련할 필요가 있음,행사운영개선
푸드 코너가 더 많았으면 좋겠음. 아주 다양하게,- 푸드 코너를 수와 품목 모두 더 늘려 다양한 먹거리 선택이 가능하도록 개선해야 함,행사운영개선
"푸드코트의 다양성 및 질 개선, 참여 부스 확대",- 푸드코트의 음식 종류와 품질을 개선해 방문객의 먹거리 선택 폭을 넓혀야 함,행사운영개선
"푸드트럭, 음료 등 다양했으면 더 좋을 것 같고
간이화장실이 물부족이라서 아쉬웠지만 이정도면 전반적으로 훌륭한 행사여서 잘 즐기다 갑니다 ♥ 감사합니다!",- 간이화장실에 물이 부족해 이용과 위생에 불편이 있었으니 화장실 설비·관리(물품 보충 등)를 개선할 필요가 있음,행사경험
"프로그램 다양성 추진! -> 사전예약 마감으로 인한 참여 불가…
주차 힘듬!",- 사전예약이 조기에 마감되어 원하는 프로그램에 참여하지 못했으므로 예약 방식 개선 및 참가 정원 확대가 필요함,행사운영관리
"프로그램 다양화 및 활성화, 시간대별 프로그램 진행, 사전예약홍보",- 다양한 연령층이 참여할 수 있도록 프로그램을 확대·다양화하고 참여를 유도해 행사를 활성화할 필요가 있음,가족체험프로그램
프로그램 이용시 1~2시간 뒤 오라고 해서 이용 잘못했어요.,- 프로그램 이용 시 '1~2시간 뒤 오라'는 안내로 인해 참여에 차질이 생기고 이용에 불편이 있었다.,행사운영관리
프로그램 자체는 많지만 많은 인원을 수용하지 못해서 이미 예약 마감 등 마감된 것들이 많아서 아쉬웠다.,- 프로그램은 다양했으나 수용 인원과 운영 규모가 부족해 주요 프로그램이 조기 예약 마감되어 참여 기회가 제한되었다,행사운영관리
프로그램의 다양성. 개발???,- 프로그램의 다양성이 부족하므로 다양한 프로그램을 새로 개발해 구성할 필요가 있음,가족체험프로그램
프로그램이 더 다양했으면 좋겠다.,- 프로그램이 단조로워 참여자 선택 폭을 넓히기 위해 프로그램 종류를 다양화할 필요가 있음,가족체험프로그램
"플리마켓인데 너무 적고 품목이 제한적…
미디어아트 실망…ㅠ 시민참여 작품이라도 더 다양하면 좋았을듯…",- 플리마켓 품목이 적고 미디어아트 등 전시·참여 작품의 다양성이 부족해 볼거리와 참여 기회가 아쉬웠음,행사운영개선
홍보,- 홍보가 미흡해 행사 정보 전달과 참여율이 낮았으므로 홍보를 강화할 필요가 있음,행사운영개선
홍보 필요함,- 행사 홍보가 부족해 참여자 및 인지도를 높일 수 있도록 보다 적극적이고 다양한 홍보 전략이 필요함,행사운영개선
"홍보가 더 필요.
사전 안내가 더 자세히 안내 되었으면 합니다.",- 행사 홍보와 사전 안내가 부족해 참가자에게 더 적극적이고 상세한 안내가 필요함,행사운영개선
"홍보가 많이 되지 않았던것 같아요.
어제 저녁 홈플 근처 인원이 많은 것을 보고
찾아온 뒤 행사가 있었다는 것을 알게 되어 오늘 찾아 왔어요!
의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요!",- 행사 홍보가 부족해 사전에 알지 못하는 사람이 많았으므로 적극적인 홍보로 참여를 늘려야 함,행사운영개선
홍보를 더 많이 했으면 좋겠다.,- 행사 인지도를 높이고 참여자를 늘리기 위해 홍보를 더 적극적으로 시행해야 함,행사운영개선
"홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다.
행사 시간을 오전에도 진행하였으면 좋겠다.",- 행사 홍보를 더 적극적으로 해 더 많은 사람들이 행사 내용을 알게 하고 참여를 늘려야 함,행사운영개선
"화장실 더 필요합니다.
우천에 대비해 이동구간 도로 포장이 필요합니다.",- 행사장 화장실이 부족해 관람객 편의를 위해 화장실을 추가로 설치해야 함.,행사경험
화장실 청결도,- 화장실 청결 상태가 불량해 위생 관리와 청소 주기 개선이 필요함,행사경험
휴게공간 (좌석)이 좀 더 생기면 좋겠습니다.,- 행사장에 휴게공간과 좌석을 더 확충해 관람객들이 쉬며 편리하게 이용할 수 있도록 개선할 필요가 있음,행사경험
"흙바닥이여서 비가 와서 신발이 더러워짐.
행사 부스 규모가 작아서 줄을 많이 기다려야했음.",- 행사 부스 규모가 작아 대기 시간이 길고 이용이 불편했다.,행사운영관리
"흡연부스가 따로 없는건진 모르지만 아이들과 행사장 참여했는데
 냄새 등 때문에 좋지 않았어요.",- 행사장에 별도 흡연구역이 없어 담배 냄새로 참가자(특히 아이들)가 불편했으니 명확한 흡연부스·구역을 마련할 필요가 있음,행사운영개선
